部屋主,取得日,順番,曲名（ファイル名）,作品名,歌手名,歌った人,コメント
芝ちゃん部屋,2026/06/08,86,*～アスタリスク～,BLEACH OP 1,ORANGE RANGE,ゆうき,
芝ちゃん部屋,2026/06/08,85,【BLEACH】「chAngE」[OP][miwa][2tr Off-On],,,芝ちゃん,
芝ちゃん部屋,2026/06/08,84,Sakura addiction,家庭教師ヒットマン REBORN,,芝ちゃん,
芝ちゃん部屋,2026/06/08,83,What's a Hero,宇宙刑事ギャバン インフィニティ IN,May'n,芝ちゃん,
芝ちゃん部屋,2026/06/08,82,last cross,家庭教師ヒットマンREBORN! OP5,光岡昌美,ゆうき,
芝ちゃん部屋,2026/06/08,81,【ToHeart】「Yell」[ED][川澄綾子][2tr Off-On],,,芝ちゃん,
芝ちゃん部屋,2026/06/08,80,桜ロック,家庭教師ヒットマンREBORN!,CHERRYBLOSSOM,ゆうき,
みにゅ部屋,2026/06/08,59,【灼眼のシャナ】「夜明け生まれ来る少女」[ED1][高橋洋子][2tr Off-On] キー変更：+4,,,ちゃがま,
みにゅ部屋,2026/06/08,58,【戦隊大失格】「次回予告」[Op][キタニタツヤ][On-Off][アニメ][芝ちゃん],,,揚丸,
みにゅ部屋,2026/06/08,57,secret base -君がくれたもの- (10 years after Ver.) (off) あの日見た花の名前を僕達はまだ知らない。,,,カコ,
みにゅ部屋,2026/06/08,56,いま､地球が目覚める (未来少年コナン_OP) 鎌田直純・山路ゆう子 (2ch_off_on),,,ミスター,
みにゅ部屋,2026/06/08,55,【バジリスク~甲賀忍法帖~】「甲賀忍法帖」[OP][陰陽座][2tr Off-On],,,きっし,
みにゅ部屋,2026/06/08,54,【MFゴースト】TIMELESS POWER feat.MOTSU ※フルサイズ 3期OP MV本人映像(off-弱ボーカル-UVRコーラス入-on) ／芹澤優,,,みにゅ,
みにゅ部屋,2026/06/08,53,Time ～Song for GUNHED～【2ch vc-on】(G) -永井真理子 -GUNHED キー変更：+4,,,ちゃがま,
みにゅ部屋,2026/06/08,52,first death／TK from 凛として時雨／チェンソーマン (VC-On) 【第8話ED】,,,ミスター,
みにゅ部屋,2026/06/08,51,ミラクル・ガール【2ch off-on】(G) -永井真理子 -YAWARA,,,カコ,
みにゅ部屋,2026/06/08,50,希望の唄 (off) 食戟のソーマ,,,きっし,
みにゅ部屋,2026/06/08,49,【とんがり帽子のアトリエ】風のアンセム※OPパート分け有修正版 (off-弱ボーカル-UVRコーラス入-on) ／ Eve feat. suis from ヨルシカ,,,みにゅ,
みにゅ部屋,2026/06/08,48,【ニャイト・オブ・ザ・リビングキャット】「CAT CITY」[Op][THE YELLOW MONKEY][On-Off][アニメ][加古],,,ちゃがま,
みにゅ部屋,2026/06/08,47,Beautiful World (ヱヴァンゲリヲン 新劇場版_主題歌) 宇多田ヒカル (2ch_off_on),,,カコ,
みにゅ部屋,2026/06/08,46,Hyperdontia No Main Vocals Version,,,ミスター,
みにゅ部屋,2026/06/08,45,怪物事変 (けものじへん) OP_ケモノミチ_小野大輔_2CH,,,揚丸,
みにゅ部屋,2026/06/08,44,【ダークギャザリング OP】 幽世(cut&コーラス入-on) ／ luz_けんちぃ_447,,,きっし,
みにゅ部屋,2026/06/08,43,【春夏秋冬代行者 春の舞】Petals ※OP(off-弱ボーカル-UVRコーラス入り-on) ／Orangestar feat.夏背,,,みにゅ,
みにゅ部屋,2026/06/08,42,"HELLO, VIFAM (銀河漂流バイファム_OP) TAO (2ch_セリフなしVC_セリフありVC_ON) UVR-MDX版",,,ちゃがま,
みにゅ部屋,2026/06/08,41,【ドラゴンボールZ】「でてこいとびきりZENKAIパワー!」[Ed][MANNA][On-Off][アニメ][芝ちゃん],,,カコ,
みにゅ部屋,2026/06/08,40,【GigaP】Beyond the way_初音ミク鏡音リン鏡音レン_off_on,,,ミスター,
みにゅ部屋,2026/06/08,39,革命道中／ダンダダン／アイナ・ジ・エンド,,,揚丸,
みにゅ部屋,2026/06/08,38,【虚構推理 Season 2 OP】 ヨトギバナシ(cut&コーラス入-on) ／ カノエラナ_けんちぃ_357,,,きっし,
みにゅ部屋,2026/06/08,37,【神の庭付き楠木邸】驚きの子※OP(off-弱ボーカル-UVRコーラス入-on)／入野自由,,,みにゅ,
みにゅ部屋,2026/06/08,36,ゼッタイMUST断面／ドロヘドロ Season2／(K)NoW_NAME(on-semi-off),,,揚丸,
みにゅ部屋,2026/06/08,35,蒼き炎 (off) パンプキン・シザーズ【高橋洋子】 キー変更：+4,,,ちゃがま,
みにゅ部屋,2026/06/08,34,【シャングリラ・フロンティア OP2】 Danger Danger(cut&コーラス入-on)_パート分け ／ FZMZ feat.icy_けんちぃ_580,,,ミスター,
みにゅ部屋,2026/06/08,33,LAMENT～やがて喜びを～ (off) 伝説の勇者の伝説,,,きっし,
みにゅ部屋,2026/06/08,32,【本好きの下剋上】「今も、ありがとう」 ※4期EDコーラスパート有 (off-弱ボーカル-UVRコーラス入-on),,,みにゅ,
